Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,8
design__inferred_latch__count,0
design__instance__count,31067
design__instance__area,298002.057600
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,5355
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,885
design__max_cap_violation__count__corner:nom_tt_025C_1v80,26
power__internal__total,0.6317543387413025
power__switching__total,0.5542663335800171
power__leakage__total,3.262678376358963E-7
power__total,1.1860209703445435
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25
timing__hold__ws__corner:nom_tt_025C_1v80,0.2066707974365838
timing__setup__ws__corner:nom_tt_025C_1v80,-27.160138018489434
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,-13102.19195823252
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,-27.160138018489434
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.206671
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,860
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,-25.632147
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,288
design__max_slew_violation__count__corner:nom_ss_100C_1v60,8105
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,885
design__max_cap_violation__count__corner:nom_ss_100C_1v60,90
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25
timing__hold__ws__corner:nom_ss_100C_1v60,0.36711540402293763
timing__setup__ws__corner:nom_ss_100C_1v60,-61.51232586290144
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-28469.54783790166
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-61.51232586290144
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.626454
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,896
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-61.512325
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,480
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,3574
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,885
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,13
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25
timing__hold__ws__corner:nom_ff_n40C_1v95,0.05858064199536393
timing__setup__ws__corner:nom_ff_n40C_1v95,-15.70584950993089
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,-7501.833564019181
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,-15.70584950993089
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.058581
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,860
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,-14.407779
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,288
design__max_slew_violation__count,8105
design__max_fanout_violation__count,885
design__max_cap_violation__count,90
clock__skew__worst_hold,-0.25
clock__skew__worst_setup,0.25
timing__hold__ws,0.05858064199536393
timing__setup__ws,-61.51232586290144
timing__hold__tns,0.0
timing__setup__tns,-28469.54783790166
timing__hold__wns,0
timing__setup__wns,-61.51232586290144
timing__hold_vio__count,0
timing__hold_r2r__ws,0.058581
timing__hold_r2r_vio__count,0
timing__setup_vio__count,2616
timing__setup_r2r__ws,-61.512325
timing__setup_r2r_vio__count,1056
